sample_fp	plate	cycle	well	tile	channel
/mnt/data/uluru/input_sbs/plate_1/c1/A1_25_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	25	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_25_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	25	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_25_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	25	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_26_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	26	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_26_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	26	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_26_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	26	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_26_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	26	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_26_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	26	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_27_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	27	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_27_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	27	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_27_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	27	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_27_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	27	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_27_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	27	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_28_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	28	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_28_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	28	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_28_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	28	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_28_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	28	638_nm_Ex_-_1
