plate	cycle	well	tile	channel
1	1	A2	36	561_nm_Ex_-_1
1	1	A2	36	561_nm_Ex_-_2
1	1	A2	36	638_nm_Ex_-_1
1	1	A2	36	638_nm_Ex_-_2
1	1	A2	37	405_nm_Ex
1	1	A2	37	561_nm_Ex_-_1
1	1	A2	37	561_nm_Ex_-_2
1	1	A2	37	638_nm_Ex_-_1
1	1	A2	37	638_nm_Ex_-_2
1	1	A2	38	405_nm_Ex
1	1	A2	38	561_nm_Ex_-_1
1	1	A2	38	561_nm_Ex_-_2
1	1	A2	38	638_nm_Ex_-_1
1	1	A2	38	638_nm_Ex_-_2
1	1	A2	39	405_nm_Ex
1	1	A2	39	561_nm_Ex_-_1
1	1	A2	39	561_nm_Ex_-_2
1	1	A2	39	638_nm_Ex_-_1
1	1	A2	39	638_nm_Ex_-_2
1	1	A2	40	405_nm_Ex
1	1	A2	40	561_nm_Ex_-_1
1	1	A2	40	561_nm_Ex_-_2
1	1	A2	40	638_nm_Ex_-_1
1	1	A2	40	638_nm_Ex_-_2
1	1	A2	41	405_nm_Ex
1	1	A2	41	561_nm_Ex_-_1
1	1	A2	41	561_nm_Ex_-_2
1	1	A2	41	638_nm_Ex_-_1
1	1	A2	41	638_nm_Ex_-_2
1	1	A2	42	405_nm_Ex
1	1	A2	42	561_nm_Ex_-_1
1	1	A2	42	561_nm_Ex_-_2
1	1	A2	42	638_nm_Ex_-_1
1	1	A2	42	638_nm_Ex_-_2
1	1	A2	43	405_nm_Ex
1	1	A2	43	561_nm_Ex_-_1
1	1	A2	43	561_nm_Ex_-_2
1	1	A2	43	638_nm_Ex_-_1
1	1	A2	43	638_nm_Ex_-_2
1	1	A2	44	405_nm_Ex
1	1	A2	44	561_nm_Ex_-_1
1	1	A2	44	561_nm_Ex_-_2
1	1	A2	44	638_nm_Ex_-_1
1	1	A2	44	638_nm_Ex_-_2
1	1	A2	45	405_nm_Ex
1	1	A2	45	561_nm_Ex_-_1
1	1	A2	45	561_nm_Ex_-_2
1	1	A2	45	638_nm_Ex_-_1
1	1	A2	45	638_nm_Ex_-_2
1	1	A2	46	405_nm_Ex
1	1	A2	46	561_nm_Ex_-_1
1	1	A2	46	561_nm_Ex_-_2
1	1	A2	46	638_nm_Ex_-_1
1	1	A2	46	638_nm_Ex_-_2
1	1	A2	47	405_nm_Ex
1	1	A2	47	561_nm_Ex_-_1
1	1	A2	47	561_nm_Ex_-_2
1	1	A2	47	638_nm_Ex_-_1
1	1	A2	47	638_nm_Ex_-_2
1	1	A2	48	405_nm_Ex
1	1	A2	48	561_nm_Ex_-_1
1	1	A2	48	561_nm_Ex_-_2
1	1	A2	48	638_nm_Ex_-_1
1	1	A2	48	638_nm_Ex_-_2
1	1	A2	49	405_nm_Ex
1	1	A2	49	561_nm_Ex_-_1
1	1	A2	49	561_nm_Ex_-_2
1	1	A2	49	638_nm_Ex_-_1
1	1	A2	49	638_nm_Ex_-_2
1	1	A2	50	405_nm_Ex
1	1	A2	50	561_nm_Ex_-_1
1	1	A2	50	561_nm_Ex_-_2
1	1	A2	50	638_nm_Ex_-_1
1	1	A2	50	638_nm_Ex_-_2
1	1	A2	51	405_nm_Ex
1	1	A2	51	561_nm_Ex_-_1
1	1	A2	51	561_nm_Ex_-_2
1	1	A2	51	638_nm_Ex_-_1
1	1	A2	51	638_nm_Ex_-_2
1	1	A2	52	405_nm_Ex
1	1	A2	52	561_nm_Ex_-_1
1	1	A2	52	561_nm_Ex_-_2
1	1	A2	52	638_nm_Ex_-_1
1	1	A2	52	638_nm_Ex_-_2
1	1	A2	53	405_nm_Ex
1	1	A2	53	561_nm_Ex_-_1
1	1	A2	53	561_nm_Ex_-_2
1	1	A2	53	638_nm_Ex_-_1
1	1	A2	53	638_nm_Ex_-_2
1	1	A2	54	405_nm_Ex
1	1	A2	54	561_nm_Ex_-_1
1	1	A2	54	561_nm_Ex_-_2
1	1	A2	54	638_nm_Ex_-_1
1	1	A2	54	638_nm_Ex_-_2
1	1	A2	55	405_nm_Ex
